occurrence;energy;dipole_moment;homo_lumo_gap;metal_bound_homo_energy;metal_bound_homo_s;metal_bound_homo_p;metal_bound_homo_d;metal_bound_homo_f;metal_bound_lumo_energy;metal_bound_lumo_s;metal_bound_lumo_p;metal_bound_lumo_d;metal_bound_lumo_f;polarisability;molar_volume;largest_frequency;I1/I3;I2/I3
PAXQEN-subgraph-3;-264.31862781;1.8712;0.259;-0.228;0.0;0.9783206429780035;0.02167935702199662;0.0;0.031;0.7323393316195373;0.2520308483290489;0.015629820051413883;0.0;41.83;856.694;3741.7749;0.30501061517239525;0.7159193974332598
ADIHEA-subgraph-0;-2706.64415606;0.8249;0.14800000000000002;-0.078;0.0;0.9883849557522124;0.011615044247787611;0.0;0.07;0.039893923671163393;0.9175602444367578;0.042545831892078875;0.0;488.12;5428.307;3226.418;;
VIKRAJ-subgraph-1;-2706.64313585;1.1601;0.14800000000000002;-0.078;0.0;0.9877469919417154;0.01225300805828458;0.0;0.07;0.03256820093738733;0.9403917798341546;0.02704001922845812;0.0;488.44;4925.419;3226.5591;;
XAMGIC-subgraph-0;-2706.64313165;1.1663;0.14800000000000002;-0.078;0.0;0.9875041838670088;0.012495816132991184;0.0;0.07;0.03790294013460858;0.9310426260479395;0.031054433817451883;0.0;488.5;4464.654;3226.536;;
ZEYYOT-subgraph-0;-644.595557914;4.5856;0.166;-0.029;0.01354654715828071;0.9706661234467305;0.015787329394988798;0.0;0.137;0.0;1.0;0.0;0.0;71.79;1008.071;3279.7403;0.1978783834898595;0.8085882532446776
JIZPAK-subgraph-1;-1186.66319426;6.6253;0.16;-0.193;0.35859078590785914;0.6294850948509485;0.011924119241192412;0.0;-0.033;0.0;0.9348336177474402;0.06516638225255972;0.0;248.3;2723.512;3205.3548;;
XEPFEE-subgraph-1;-1089.75024006;14.9067;0.191;-0.077;0.09848329575732734;0.8763066202090593;0.02521008403361345;0.0;0.114;0.9061499771376316;0.09385002286236854;0.0;0.0;220.75;2446.44;3064.2263;;
CUQDUQ-subgraph-2;-419.219134863;4.3594;0.23000000000000004;-0.281;0.0;0.9791090629800308;0.02089093701996928;0.0;-0.051;0.0;0.952371239163692;0.047628760836308;0.0;75.42;945.702;3158.6727;0.29956126728007326;0.7004387327199268
LELPUO-subgraph-0;-1037.59188466;5.4282;0.109;-0.049;0.0;0.9850371341197028;0.01496286588029707;0.0;0.06;0.0;0.968942124231503;0.031057875768496928;0.0;220.46;2036.502;3546.3667;0.15262162194832432;0.854838996996389
LELPUO-subgraph-1;-1037.59188722;5.4283;0.109;-0.049;0.0;0.9850387681555094;0.01496123184449055;0.0;0.06;0.0;0.9689388317608396;0.031061168239160396;0.0;220.45;1618.769;3546.3209;0.152625113642431;0.8548308599355102
